Date,State,District,Pincode,Bio_age_5_17,Bio_age_17+
01-03-2025,Karnataka,Udupi,574111,14,36
01-03-2025,Karnataka,Kalaburagi,585213,82,53
01-03-2025,Tamil Nadu,Perambalur,621103,232,83
01-03-2025,Madhya Pradesh,Mandla,481666,46,121
01-03-2025,Kerala,Kollam,690525,19,15
01-03-2025,Andhra Pradesh,Anantapur,515803,14,44
01-03-2025,Nagaland,Zunheboto,797109,13,174
01-03-2025,Uttarakhand,Uttarkashi,249152,117,154
01-03-2025,Kerala,Kottayam,686564,44,78
01-03-2025,Goa,South Goa,403708,24,30
01-03-2025,Karnataka,Udupi,574117,29,24
01-03-2025,Kerala,Ernakulam,682001,87,105
01-03-2025,Himachal Pradesh,Hamirpur,177033,34,59
01-03-2025,Jammu and Kashmir,Srinagar,190010,104,195
01-03-2025,Andhra Pradesh,Nellore,524322,74,97
01-03-2025,Assam,Golaghat,785618,26,43
01-03-2025,Uttarakhand,Udham Singh Nagar,263160,110,89
01-03-2025,Uttar Pradesh,Ballia,277402,166,109
01-03-2025,Rajasthan,Jhunjhunun,333034,31,54
01-03-2025,Andhra Pradesh,Ananthapuramu,515005,77,9
01-03-2025,Telangana,Jagitial,505529,19,25
01-03-2025,Assam,Tinsukia,786152,118,58
01-03-2025,Andhra Pradesh,Nellore,524313,26,46
01-03-2025,Gujarat,Kheda,387110,43,63
01-03-2025,Uttarakhand,Pauri Garhwal,246147,23,32
01-03-2025,Kerala,Ernakulam,683587,31,42
01-03-2025,West Bengal,Barddhaman,713512,106,152
01-03-2025,Odisha,Mayurbhanj,757019,94,186
01-03-2025,West Bengal,North 24 Parganas,700128,110,162
01-03-2025,Kerala,Alappuzha,688531,43,82
01-03-2025,Tamil Nadu,Coimbatore,641039,64,162
01-03-2025,Karnataka,Udupi,576247,15,20
01-03-2025,Assam,Bongaigaon,783382,88,45
01-03-2025,Karnataka,Mysuru,571114,93,94
01-03-2025,Meghalaya,South West Khasi Hills,793114,77,169
01-03-2025,Rajasthan,Ajmer,305406,36,85
01-03-2025,Madhya Pradesh,Hoshangabad,461115,144,155
01-03-2025,Punjab,Gurdaspur,143527,139,352
01-03-2025,West Bengal,Murshidabad,742176,14,23
01-03-2025,Uttar Pradesh,Prayagraj,211016,56,44
01-03-2025,Himachal Pradesh,Solan,174103,61,63
01-03-2025,Himachal Pradesh,Solan,173214,16,25
01-03-2025,Telangana,Medak,502221,60,103
01-03-2025,West Bengal,Nadia,741315,65,130
01-03-2025,Maharashtra,Jalna,431135,54,100
01-03-2025,Maharashtra,Sindhudurg,416529,33,144
01-03-2025,Telangana,Adilabad,504204,39,33
01-03-2025,Maharashtra,Nagpur,440019,20,39
01-03-2025,Andhra Pradesh,Nandyal,518124,31,35
01-03-2025,Karnataka,Bangalore,560006,13,44
01-03-2025,Assam,Kamrup,781129,19,40
01-03-2025,Kerala,Alappuzha,689574,10,12
01-03-2025,Andhra Pradesh,Anakapalli,531085,12,5
01-03-2025,Telangana,Vikarabad,509350,15,20
01-03-2025,West Bengal,Purba Medinipur,721427,44,52
01-03-2025,Tamil Nadu,Cuddalore,606107,20,6
01-03-2025,Tamil Nadu,Ramanathapuram,623502,23,81
01-03-2025,Andhra Pradesh,Ananthapur,515551,43,14
01-03-2025,Odisha,Khorda,752114,28,36
01-03-2025,Uttar Pradesh,Prayagraj,211001,25,21
01-03-2025,Kerala,Thrissur,680524,13,18
01-03-2025,Himachal Pradesh,Kangra,176088,37,44
01-03-2025,Andhra Pradesh,Annamayya,516115,10,16
01-03-2025,Tamil Nadu,Ramanathapuram,623402,14,15
01-03-2025,Andhra Pradesh,N. T. R,520003,10,38
01-03-2025,Meghalaya,East Khasi Hills,793009,13,22
01-03-2025,Madhya Pradesh,East Nimar,450991,21,54
01-03-2025,Tamil Nadu,Mayiladuthurai,609102,35,2
01-03-2025,Tamil Nadu,Kallakurichi,606401,11,2
01-03-2025,Bihar,East Champaran,845457,247,442
01-03-2025,Haryana,Karnal,132116,248,519
01-03-2025,Kerala,Kollam,691583,82,157
01-03-2025,Uttar Pradesh,Lucknow,226003,1606,1012
01-03-2025,Punjab,Amritsar,143022,121,300
01-03-2025,Gujarat,Dahod,389146,145,151
01-03-2025,Delhi,South Delhi,110062,2324,3785
01-03-2025,Uttar Pradesh,Budaun,243601,1731,751
01-03-2025,Tamil Nadu,Tiruppur,638752,109,150
01-03-2025,Tripura,North Tripura,799261,587,348
01-03-2025,Madhya Pradesh,Dewas,455116,154,301
01-03-2025,Bihar,Gaya,823003,768,1156
01-03-2025,Jharkhand,East Singhbhum,831009,388,418
01-03-2025,Rajasthan,Jalor,343028,24,81
01-03-2025,Maharashtra,Mumbai Suburban,400055,205,201
01-03-2025,Kerala,Ernakulam,683585,30,55
01-03-2025,Madhya Pradesh,Mandsaur,458558,278,418
01-03-2025,Uttar Pradesh,Gorakhpur,273203,126,200
01-03-2025,Tripura,Gomati,799105,336,110
01-03-2025,Karnataka,Gulbarga,585222,95,255
01-03-2025,Karnataka,Kalaburagi,585318,92,87
01-03-2025,Maharashtra,Aurangabad,431136,404,572
01-03-2025,Bihar,Khagaria,848203,757,1189
01-03-2025,Rajasthan,Jaipur,303301,394,413
01-03-2025,Maharashtra,Gadchiroli,442606,168,872
01-03-2025,Uttar Pradesh,Auraiya,206247,439,108
01-03-2025,Madhya Pradesh,Tikamgarh,472111,793,1658
